itemName,itemNumber,itemType,itemBrand,itemCondition,itemSize,itemColor,itemRemarks,itemStatus,itemMfgDate,position,warehouseName,warehouseDescription,positionName,positionCapacity,photos,purchaseDate,purchasePrice,purchasePlatform,purchasePriceCurrency,purchasePriceExchangeRate,launchDate,soldDate,soldPrice,soldPlatform,soldPriceCurrency,soldPriceExchangeRate,itemGrossProfit,itemNetProfit,shipping,transactionStatues,isReturn,storageDuration,domesticShipping,internationalShipping,domesticTrackingNumber,internationalTrackingNumber,listingPlatforms,otherFees
nb 992 元祖灰,41,1100,95新,配件齐全,,售出,36400,#VALUE!,1204.68 ,59.67%,8月11日,,,,,,,,,,,,,,,,,,,,,,,,,,,
nb 992EA 黑武士 ,42,625,8新,,,售出,34875,#VALUE!,2072.44 ,168.58%,8月12日,2023/11/30,,,,,,,,,,,,,,,,,,,,,,,,,,
nb 992EB 黑,44,1050,,,,售出,40920,#VALUE!,360.05 ,89.23%,8月12日,,,,,,,,,,,,,,,,,,,,,,,,,,,
nb 992EB 黑,43,1000,9新,,,售出,34540,#VALUE!,-360.89 ,66.15%,8月12日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 turbo green,42,1040,9新,,,售出,29760,#VALUE!,760.70 ,36.32%,8月13日,,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
nb 992 元祖灰,41,910,95新,配件齐全,,售出,32360,#VALUE!,656.40 ,70.37%,8月13日,2024/4/14,,,95分,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
dunk sb huf 旧金山,43,1000,95新,配件齐全,,售出,31620,#VALUE!,1053.63 ,51.26%,8月14日,2023/9/13,,,闲鱼,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
nb 992 元祖灰,42,1100,9新,配件齐全,鞋盒破损,未售出,,#VALUE!,936.92 ,0.00%,8月14日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 黑蓝,45,500,9新,配件齐全,,未售出,,#VALUE!,661.54 ,0.00%,8月16日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb mia,42,1400,,,,未售出,,#VALUE!,377.76 ,0.00%,8月16日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 黑红脚趾,43,1200,95新,配件丢失,,售出,29760,#VALUE!,640.36 ,18.15%,8月17日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 黑红脚趾,41,1200,9新,配件齐全,,未售出,,#VALUE!,512.62 ,0.00%,8月17日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 苏格兰,45,980,9新,配件鞋盒丢失,无原鞋垫,未售出,,#VALUE!,0.00 ,0.00%,8月17日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 春丽,44,2600,9新,配件齐全,95,售出,80910,#VALUE!,0.00 ,54.86%,8月18日,2023/10/4,,,95分,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
dunk sb 春丽,40,1700,9新,配件齐全,,未售出,,#VALUE!,,,8月20日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 low zion,42.5,1139,9新,配件齐全,,售出,32550,#VALUE!,217.76 ,36.97%,8月21日,2023/10/17,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
nb 992 元祖灰,44,1100,9新,配件齐全,,售出,32364,#VALUE!,0.00 ,40.96%,8月21日,2024/7/26,,,,,,,,,,,,,,,,,,,,,,,,,,
ja1 粉,42.5,765,全新,配件齐全,,售出,24180,#VALUE!,0.00 ,48.13%,8月23日,2023/10/5,,,,SNKRDUNK,,,,,,,,,,,,,,,,,,,,,,
nb 992 元祖灰,41,850,9新,配件齐全,,售出,,#VALUE!,1426.41 ,0.00%,8月24日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 灯芯绒,43,659,8新,配件丢失,,售出,23250,#VALUE!,0.00 ,64.76%,8月29日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 白寡妇,44,1400,全新,配件齐全,,售出,57590,#VALUE!,421.05 ,102.65%,8月31日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 薄荷糖,42.5,850,9新,,,售出,28760,#VALUE!,450.56 ,60.80%,9月1日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb born and raised,43,4422,95新,配件齐全,,售出,106150,#VALUE!,368.18 ,20.16%,9月2日,,,,,,,,,,,,,,,,,,,,,,,,,,,
aj1 禁穿 16,42.5,1750,9新,,,售出,39990,#VALUE!,-950.00 ,10.83%,9月3日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 情人节 2013,43,2500,全新,配件齐全,,售出,111600,#VALUE!,426.75 ,123.66%,9月3日,,,,,,,,,,,,,,,,,,,,,,,,,,,
nb 992EA 黑武士 ,42.5,650,8新,配件齐全,鞋盒烂,售出,26970,#VALUE!,1437.09 ,221.09%,9月4日,,,,,,,,,,,,,,,,,,,,,,,,,,,
dunk sb 熊猫鸽子,42,2300,95新,,,售出,61510,#VALUE!,516.76 ,32.04%,9月5日,,,,,,,,,,,,,,,,,,,,,,,,,,,
