itemName,itemNumber,itemType,itemBrand,itemCondition,itemSize,itemColor,itemRemarks,itemStatus,itemMfgDate,position,warehouseName,warehouseDescription,positionName,positionCapacity,photos,purchaseDate,purchasePrice,purchasePlatform,purchasePriceCurrency,purchasePriceExchangeRate,launchDate,soldDate,soldPrice,soldPlatform,soldPriceCurrency,soldPriceExchangeRate,itemGrossProfit,itemNetProfit,shipping,transactionStatues,isReturn,storageDuration,domesticShipping,internationalShipping,domesticTrackingNumber,internationalTrackingNumber,listingPlatforms,otherFees
aj1 薄荷糖,42.0,鞋子,9新,配件齐全,,售出,30500,,730.38,53.21%,7月28日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 高邦钻石,44.0,鞋子,9新,配件齐全,,售出,55800,,591.48,67.43%,7月28日,2023/11/10,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 熊猫鸽子,42.0,鞋子,战斗成色,配件丢失,,售出,30500,,722.9,45.55%,7月28日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb buck,43.0,鞋子,9新,配件齐全,开胶,售出,46314,,426.0,25.67%,7月30日,2024/7/15,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
nb 992EA 黑武士,42.5,鞋子,全新,配件齐全,,售出,53940,,745.19,80.34%,7月30日,2023/12/2,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
nb 993 navi,41.5,鞋子,9新,配件齐全,鞋盒破损,售出,35340,,505.5,53.36%,7月30日,2024/3/23,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
aj4 北卡蓝,42.5,鞋子,9新,配件丢失,,未售出,,,1105.8,0.00%,8月1日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 拉斯维加斯,44.0,鞋子,99新,配件齐全,,售出,116994,,455.5,134.67%,8月1日,2024/6/19,,,闲鱼,SNKRDUNK,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 牙龈出血,42.0,鞋子,战斗成色,配件丢失,,未售出,,,462.01,0.00%,8月1日,,,,闲鱼,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb huf 旧金山,42.0,鞋子,95新,配件齐全,,售出,32550,,1180.94,60.83%,8月3日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb born & raised,41.0,鞋子,95新,配件丢失,,售出,107000,,592.34,53.06%,8月7日,2023/9/3,,,95分,SNKRDUNK,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 高邦钻石,45.0,鞋子,9新,配件齐全,,售出,48360,,0.0,69.03%,8月7日,2023/12/18,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 高邦钻石,43.0,鞋子,99新,配件齐全,,售出,83630,,3366.69,66.61%,8月7日,2023/10/27,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 辛普森（红）,43.0,鞋子,95新,配件齐全,,售出,29760,,0.0,84.12%,8月8日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 白钻石,44.5,鞋子,8新,配件齐全,,售出,30690,,590.05,0.00%,8月9日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 莱卡,45.5,鞋子,未使用近全新,配件齐全,,未售出,,,1857.0,0.00%,8月9日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 遛狗特殊盒,42.5,鞋子,全新,配件齐全,,售出,79050,,966.36,62.46%,8月9日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 高邦钻石,42.0,鞋子,全新,配件齐全,充新海关,售出,74400,,1665.13,60.63%,8月10日,2024/4/16,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
aj1 turbo green,44.0,鞋子,95新,配件齐全,,售出,30225,,647.76,20.12%,8月11日,,,,,SNKRDUNK,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
aj1 薄荷糖,42.0,鞋子,95新,配件齐全,闲鱼,售出,30225,,845.19,44.15%,8月11日,2024/12/15,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
aj1 黑曜石,43.0,鞋子,,,,未售出,,,0.0,0.00%,8月11日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
aj4 北卡蓝,44.0,鞋子,9新,配件鞋盒丢失,,未售出,,,1511.55,0.00%,8月11日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb elephant,42.0,鞋子,9新,配件齐全,,未售出,,,1394.4,0.00%,8月11日,,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
dunk sb 高邦钻石,45.5,鞋子,8新,配件鞋盒丢失,,售出,50220,,241.48,228.16%,8月11日,2024/1/24,,,,,0,闲鱼,CNY,1,,,0,,JPY,0.05,0,0,0,,no,0,0,0,,,闲鱼,
